Aggregate,ATAR
203.32,38.7
203.17,38.65
203.01,38.6
202.85,38.55
202.7,38.5
202.54,38.45
202.38,38.4
202.23,38.35
202.07,38.3
201.91,38.25
201.76,38.2
201.6,38.15
201.44,38.1
201.29,38.05
201.13,38.0
200.97,37.95
200.82,37.9
200.66,37.85
200.5,37.8
200.35,37.75
200.19,37.7
200.03,37.65
199.88,37.6
199.72,37.55
199.57,37.5
199.41,37.45
199.25,37.4
199.1,37.35
198.94,37.3
198.78,37.25
198.63,37.2
198.47,37.15
198.31,37.1
198.16,37.05
198.0,37.0
197.84,36.95
197.69,36.9
197.53,36.85
197.37,36.8
197.22,36.75
197.06,36.7
196.91,36.65
196.75,36.6
196.59,36.55
196.44,36.5
196.28,36.45
196.12,36.4
195.97,36.35
195.81,36.3
195.65,36.25
195.5,36.2
195.34,36.15
195.18,36.1
195.03,36.05
194.87,36.0
194.71,35.95
194.56,35.9
194.4,35.85
194.25,35.8
194.09,35.75
193.93,35.7
193.78,35.65
193.62,35.6
193.46,35.55
193.31,35.5
193.15,35.45
192.99,35.4
192.84,35.35
192.68,35.3
192.52,35.25
192.37,35.2
192.21,35.15
192.05,35.1
191.9,35.05
191.74,35.0
191.59,34.95
191.43,34.9
191.27,34.85
191.12,34.8
190.96,34.75
190.8,34.7
190.65,34.65
190.49,34.6
190.33,34.55
190.18,34.5
190.02,34.45
189.86,34.4
189.71,34.35
189.55,34.3
189.39,34.25
189.24,34.2
189.08,34.15
188.93,34.1
188.77,34.05
188.61,34.0
188.46,33.95
188.3,33.9
188.14,33.85
187.99,33.8
187.83,33.75
187.67,33.7
187.52,33.65
187.36,33.6
187.2,33.55
187.05,33.5
186.89,33.45
186.73,33.4
186.58,33.35
186.42,33.3
186.27,33.25
186.11,33.2
185.95,33.15
185.8,33.1
185.64,33.05
185.48,33.0
185.33,32.95
185.17,32.9
185.01,32.85
184.86,32.8
184.7,32.75
184.54,32.7
184.39,32.65
184.23,32.6
184.07,32.55
183.92,32.5
183.76,32.45
183.61,32.4
183.45,32.35
183.29,32.3
183.14,32.25
182.98,32.2
182.82,32.15
182.67,32.1
182.51,32.05
182.35,32.0
182.2,31.95
182.04,31.9
181.88,31.85
181.73,31.8
181.57,31.75
181.41,31.7
181.26,31.65
181.1,31.6
180.94,31.55
180.79,31.5
180.63,31.45
180.48,31.4
180.32,31.35
180.16,31.3
180.01,31.25
179.85,31.2
179.69,31.15
179.54,31.1
179.38,31.05
179.22,31.0
179.07,30.95
178.91,30.9
178.75,30.85
178.6,30.8
178.44,30.75
178.28,30.7
178.13,30.65
177.97,30.6
177.82,30.55
177.66,30.5
177.5,30.45
177.35,30.4
177.19,30.35
177.03,30.3
176.88,30.25
176.72,30.2
176.56,30.15
176.41,30.1
176.25,30.05
