Aggregate,ATAR
245.14,52.7
244.99,52.65
244.82,52.6
244.65,52.55
244.47,52.5
244.25,52.45
244.02,52.4
243.77,52.35
243.51,52.3
243.26,52.25
243.01,52.2
242.78,52.15
242.57,52.1
242.38,52.05
242.22,52.0
242.07,51.95
241.93,51.9
241.8,51.85
241.67,51.8
241.53,51.75
241.39,51.7
241.25,51.65
241.09,51.6
240.93,51.55
240.76,51.5
240.57,51.45
240.39,51.4
240.19,51.35
239.99,51.3
239.79,51.25
239.58,51.2
239.35,51.15
239.1,51.1
238.85,51.05
238.59,51.0
238.33,50.95
238.1,50.9
237.88,50.85
237.67,50.8
237.46,50.75
237.25,50.7
237.04,50.65
236.84,50.6
236.64,50.55
236.44,50.5
236.24,50.45
236.05,50.4
235.85,50.35
235.66,50.3
235.47,50.25
235.28,50.2
235.1,50.15
234.91,50.1
234.73,50.05
234.54,50.0
234.36,49.95
234.18,49.9
234.0,49.85
233.82,49.8
233.64,49.75
233.46,49.7
233.29,49.65
233.11,49.6
232.94,49.55
232.76,49.5
232.58,49.45
232.41,49.4
232.23,49.35
232.06,49.3
231.89,49.25
231.71,49.2
231.54,49.15
231.36,49.1
231.19,49.05
231.01,49.0
230.84,48.95
230.66,48.9
230.48,48.85
230.31,48.8
230.13,48.75
229.95,48.7
229.77,48.65
229.59,48.6
229.41,48.55
229.22,48.5
229.04,48.45
228.86,48.4
228.68,48.35
228.5,48.3
228.31,48.25
228.13,48.2
227.95,48.15
227.77,48.1
227.58,48.05
227.4,48.0
227.22,47.95
227.03,47.9
226.85,47.85
226.66,47.8
226.48,47.75
226.29,47.7
226.11,47.65
225.92,47.6
225.74,47.55
225.55,47.5
225.37,47.45
225.18,47.4
225.0,47.35
224.81,47.3
224.63,47.25
224.45,47.2
224.26,47.15
224.08,47.1
223.89,47.05
223.71,47.0
223.52,46.95
223.34,46.9
223.16,46.85
222.97,46.8
222.79,46.75
222.6,46.7
222.42,46.65
222.24,46.6
222.05,46.55
221.87,46.5
221.69,46.45
221.5,46.4
221.32,46.35
221.14,46.3
220.95,46.25
220.77,46.2
220.59,46.15
220.4,46.1
220.22,46.05
220.04,46.0
219.85,45.95
219.67,45.9
219.49,45.85
219.31,45.8
219.12,45.75
218.94,45.7
218.76,45.65
218.57,45.6
218.39,45.55
218.21,45.5
218.03,45.45
217.85,45.4
217.66,45.35
217.48,45.3
217.3,45.25
217.12,45.2
216.93,45.15
216.75,45.1
216.57,45.05
216.39,45.0
216.21,44.95
216.02,44.9
215.84,44.85
215.66,44.8
215.48,44.75
215.3,44.7
215.12,44.65
214.93,44.6
214.75,44.55
214.57,44.5
214.39,44.45
214.21,44.4
214.03,44.35
213.85,44.3
213.67,44.25
213.49,44.2
213.3,44.15
213.12,44.1
212.94,44.05
212.76,44.0
212.58,43.95
212.4,43.9
212.22,43.85
212.04,43.8
211.86,43.75
211.68,43.7
211.5,43.65
211.32,43.6
211.14,43.55
210.96,43.5
210.78,43.45
210.6,43.4
210.42,43.35
210.24,43.3
210.06,43.25
209.88,43.2
209.7,43.15
209.52,43.1
209.34,43.05
209.16,43.0
208.98,42.95
208.8,42.9
208.62,42.85
208.44,42.8
208.26,42.75
208.08,42.7
207.9,42.65
207.72,42.6
207.54,42.55
207.36,42.5
207.18,42.45
207.01,42.4
206.83,42.35
206.65,42.3
206.47,42.25
206.29,42.2
206.11,42.15
205.93,42.1
205.75,42.05
205.57,42.0
205.4,41.95
205.22,41.9
205.04,41.85
204.86,41.8
204.68,41.75
204.5,41.7
204.33,41.65
204.15,41.6
203.97,41.55
203.79,41.5
203.61,41.45
203.44,41.4
203.26,41.35
203.08,41.3
202.9,41.25
202.73,41.2
202.55,41.15
202.37,41.1
202.19,41.05
202.01,41.0
201.84,40.95
201.66,40.9
201.48,40.85
201.31,40.8
201.13,40.75
200.95,40.7
200.77,40.65
200.6,40.6
200.42,40.55
200.24,40.5
200.07,40.45
199.89,40.4
199.71,40.35
199.54,40.3
199.36,40.25
199.18,40.2
199.01,40.15
198.83,40.1
198.65,40.05
198.48,40.0
198.3,39.95
198.12,39.9
197.95,39.85
197.77,39.8
197.6,39.75
197.42,39.7
197.24,39.65
197.07,39.6
196.89,39.55
196.72,39.5
196.54,39.45
196.37,39.4
196.19,39.35
196.01,39.3
195.84,39.25
195.66,39.2
195.49,39.15
195.31,39.1
195.14,39.05
194.96,39.0
194.79,38.95
194.61,38.9
194.44,38.85
194.26,38.8
194.09,38.75
193.91,38.7
193.74,38.65
193.56,38.6
193.39,38.55
193.21,38.5
193.04,38.45
192.86,38.4
192.69,38.35
192.51,38.3
192.34,38.25
192.17,38.2
191.99,38.15
191.82,38.1
191.64,38.05
191.47,38.0
191.29,37.95
191.12,37.9
190.95,37.85
190.77,37.8
190.6,37.75
190.42,37.7
190.25,37.65
190.08,37.6
189.9,37.55
189.73,37.5
189.56,37.45
189.38,37.4
189.21,37.35
189.04,37.3
188.86,37.25
188.69,37.2
188.52,37.15
188.34,37.1
188.17,37.05
188.0,37.0
