ATAR,Aggregate
78.0,361.89
78.05,362.09
78.1,362.3
78.15,362.51
78.2,362.74
78.25,362.97
78.3,363.2
78.35,363.44
78.4,363.7
78.45,363.99
78.5,364.28
78.55,364.61
78.6,364.97
78.65,365.34
78.7,365.7
78.75,366.04
78.8,366.31
78.85,366.52
78.9,366.69
78.95,366.88
79.0,367.12
79.05,367.37
79.1,367.69
79.15,368.47
79.2,368.64
79.25,368.81
79.3,368.97
79.35,369.14
79.4,369.34
79.45,369.63
79.5,369.94
79.55,370.26
79.6,370.56
79.65,370.84
79.7,371.11
79.75,371.38
79.8,371.7
79.85,372.11
79.9,372.55
79.95,372.99
80.0,373.35
80.05,373.65
80.1,373.94
80.15,374.22
80.2,374.49
80.25,374.76
80.3,375.04
80.35,375.35
80.4,375.66
80.45,375.98
80.5,376.28
80.55,376.56
80.6,376.81
80.65,377.01
80.7,377.18
80.75,377.35
80.8,377.52
80.85,378.24
80.9,378.58
80.95,378.82
81.0,379.0
81.05,379.16
81.1,379.32
81.15,379.49
81.2,379.68
81.25,379.96
81.3,380.35
81.35,380.82
81.4,381.28
81.45,381.67
81.5,381.91
81.55,382.09
81.6,382.25
81.65,382.42
81.7,382.62
81.75,382.83
81.8,383.09
81.85,383.42
81.9,383.88
81.95,384.39
82.0,384.8
82.05,385.02
82.1,385.18
82.15,385.35
82.2,385.58
82.25,385.84
82.3,386.15
82.35,386.49
82.4,386.86
82.45,387.22
82.5,387.57
82.55,387.91
82.6,388.22
82.65,388.52
82.7,388.83
82.75,389.15
82.8,389.45
82.85,389.71
82.9,389.92
82.95,390.08
83.0,390.25
83.05,390.43
83.1,390.63
83.15,390.86
83.2,391.1
83.25,391.42
83.3,391.78
83.35,392.19
83.4,392.62
83.45,393.03
83.5,393.39
83.55,393.68
83.6,393.87
83.65,394.05
83.7,394.21
83.75,394.39
83.8,394.69
83.85,395.1
83.9,395.53
83.95,395.92
84.0,396.23
84.05,396.52
84.1,396.81
84.15,397.08
84.2,397.36
84.25,397.65
84.3,397.94
84.35,398.22
84.4,398.52
84.45,398.79
84.5,398.95
84.55,399.12
84.6,399.32
84.65,399.55
84.7,399.79
84.75,400.03
84.8,400.29
84.85,400.56
84.9,400.82
84.95,401.12
85.0,401.71
85.05,402.15
85.1,402.31
85.15,402.47
85.2,402.65
85.25,402.87
85.3,403.13
85.35,403.66
85.4,404.24
85.45,404.48
85.5,404.67
85.55,404.85
85.6,405.06
85.65,405.31
85.7,405.59
85.75,405.89
85.8,406.21
85.85,406.54
85.9,406.88
85.95,407.22
86.0,407.55
86.05,407.88
86.1,408.19
86.15,408.49
86.2,408.76
86.25,409.06
86.3,409.38
86.35,409.67
86.4,409.9
86.45,410.09
86.5,410.25
86.55,410.41
86.6,410.62
86.65,410.83
86.7,411.62
86.75,411.89
86.8,412.2
86.85,412.41
86.9,412.57
86.95,412.75
87.0,413.09
87.05,413.5
87.1,413.87
87.15,414.13
87.2,414.31
87.25,414.59
87.3,415.01
87.35,415.32
87.4,415.58
87.45,415.87
87.5,416.2
87.55,416.53
87.6,416.8
87.65,416.97
87.7,417.22
87.75,417.54
87.8,417.87
87.85,418.14
87.9,418.45
87.95,418.74
88.0,419.02
88.05,419.29
88.1,419.47
88.15,419.87
88.2,420.15
88.25,420.42
88.3,420.7
88.35,420.95
88.4,421.15
88.45,421.29
88.5,421.47
88.55,421.82
88.6,422.25
88.65,422.67
88.7,422.93
88.75,423.15
88.8,423.53
88.85,423.81
88.9,424.07
88.95,424.39
89.0,424.67
89.05,424.85
89.1,425.02
89.15,425.18
89.2,425.34
89.25,425.52
89.3,425.79
89.35,426.09
89.4,426.4
89.45,426.67
89.5,426.94
89.55,427.21
89.6,427.51
89.65,427.92
89.7,428.43
89.75,428.88
89.8,429.15
89.85,429.31
89.9,429.48
89.95,429.65
90.0,429.93
90.05,430.31
90.1,430.73
90.15,431.1
90.2,431.4
90.25,431.68
90.3,431.96
90.35,432.25
90.4,432.53
90.45,432.8
90.5,433.08
90.55,433.37
90.6,433.64
90.65,433.9
90.7,434.2
90.75,434.45
90.8,434.67
90.85,434.88
90.9,435.08
90.95,435.25
91.0,435.48
91.05,435.7
91.1,436.0
91.15,436.46
91.2,436.63
91.25,437.31
91.3,437.57
91.35,437.84
91.4,438.15
91.45,438.42
91.5,438.7
91.55,438.99
91.6,439.24
91.65,439.48
91.7,439.69
91.75,439.85
91.8,440.05
91.85,440.27
91.9,440.47
91.95,440.69
92.0,440.96
92.05,441.24
92.1,441.54
92.15,441.82
92.2,442.1
92.25,442.46
92.3,442.93
92.35,443.39
92.4,443.74
92.45,443.96
92.5,444.28
92.55,444.58
92.6,444.87
92.65,445.15
92.7,445.42
92.75,445.59
92.8,445.81
92.85,446.16
92.9,446.53
92.95,446.81
93.0,447.08
93.05,447.38
93.1,447.66
93.15,447.95
93.2,448.22
93.25,448.5
93.3,448.78
93.35,449.06
93.4,449.38
93.45,449.59
93.5,449.77
93.55,450.29
93.6,450.63
93.65,450.91
93.7,451.15
93.75,451.38
93.8,451.6
93.85,451.87
93.9,452.18
93.95,452.4
94.0,452.71
94.05,453.0
94.1,453.31
94.15,453.58
94.2,453.85
94.25,454.13
94.3,454.41
94.35,454.7
94.4,455.0
94.45,455.3
94.5,455.5
94.55,455.84
94.6,456.14
94.65,456.33
94.7,456.69
94.75,457.0
94.8,457.23
94.85,457.57
94.9,457.85
94.95,458.13
95.0,458.41
95.05,458.7
95.1,458.98
95.15,459.25
95.2,459.55
95.25,459.86
95.3,460.15
95.35,460.42
95.4,460.73
95.45,460.89
95.5,461.26
95.55,461.59
95.6,461.92
95.65,462.22
95.7,462.47
95.75,462.71
95.8,462.89
95.85,463.15
95.9,463.59
95.95,463.87
96.0,464.18
96.05,464.5
96.1,464.68
96.15,464.85
96.2,465.04
96.25,465.34
96.3,465.9
96.35,466.23
96.4,466.48
96.45,466.71
96.5,467.11
96.55,467.39
96.6,467.66
96.65,467.99
96.7,468.29
96.75,468.53
96.8,468.77
96.85,468.96
96.9,469.14
96.95,469.52
97.0,470.03
97.05,470.3
97.1,470.46
97.15,470.88
97.2,471.06
97.25,471.42
97.3,471.82
97.35,472.09
97.4,472.42
97.45,472.67
97.5,472.97
97.55,473.16
97.6,473.58
97.65,473.81
97.7,474.2
97.75,474.52
97.8,474.78
97.85,475.02
97.9,475.23
97.95,475.67
98.0,475.99
98.05,476.28
98.1,476.52
98.15,476.71
98.2,476.89
98.25,477.41
98.3,477.69
98.35,478.1
98.4,478.38
98.45,478.68
98.5,478.9
98.55,479.08
98.6,479.3
98.65,479.75
98.7,480.18
98.75,480.48
98.8,480.81
98.85,481.1
98.9,481.41
98.95,481.73
99.0,482.02
99.05,482.29
99.1,482.59
99.15,482.87
99.2,483.21
99.25,483.49
99.3,483.79
99.35,484.12
99.4,484.43
99.45,484.73
99.5,485.04
99.55,485.33
99.6,485.65
99.65,485.96
99.7,486.24
99.75,486.53
99.8,486.87
99.85,487.17
99.9,487.49
99.95,488.25
